Time,DT9857E-16(00).Ain 1,DT9857E-16(00).Ain 2,DT9857E-16(00).Ain 3,DT9857E-16(00).Ain 4,DT9857E-16(00).Ain 5,,,QuickDAQ DATA
0.00E+00,0.010769367,0.018894672,0.017099381,0.01277566,0.00292778,,,12:00:00 AM
0.005,0.01023531,0.017988682,0.01940012,0.013799667,0.001949072,,,200 Hz
0.01,0.009262562,0.018106699,0.022040606,0.014641285,0.001199246,,,Time Waveform
0.015,0.007333756,0.018219948,0.023795366,0.015158653,0.001153946,,,
0.02,0.006607771,0.018422604,0.025354624,0.015122891,0.001659393,,,
0.025,0.005971193,0.018527508,0.026813746,0.014363527,0.002729893,,,
0.03,0.005921125,0.018680096,0.029158592,0.013340712,0.003962517,,,
0.035,0.00500083,0.017844439,0.030322075,0.013583899,0.004813671,,,
0.04,0.004271269,0.017251968,0.030415058,0.015165806,0.004630089,,,
0.045,0.00371933,0.017331839,0.029559135,0.016740561,0.004343987,,,
0.05,0.003390312,0.018163919,0.02854228,0.018314123,0.003846884,,,
0.055,0.003950596,0.017694235,0.027503967,0.020052195,0.00297904,,,
0.06,0.005209446,0.01647234,0.027534962,0.021408796,0.002628565,,,
0.065,0.005706549,0.015728474,0.026892424,0.021892786,0.003015995,,,
0.07,0.006731749,0.015226603,0.023957491,0.021235943,0.003987551,,,
0.075,0.007106066,0.014259815,0.021768808,0.019919872,0.00487566,,,
0.08,0.006943941,0.013142824,0.021190643,0.017601252,0.005984306,,,
0.085,0.006463528,0.012432337,0.021258593,0.015420914,0.006769896,,,
0.09,0.005842447,0.012016296,0.02052784,0.013462305,0.006780624,,,
0.095,0.005481243,0.011258125,0.01860261,0.011692047,0.00510931,,,
0.1,0.00531435,0.01101613,0.015664101,0.011304617,0.002837181,,,
0.105,0.005511046,0.009922981,0.012863874,0.01059413,4.77E-04,,,
0.11,0.004811287,0.008485317,0.011440516,0.008277893,-0.001009703,,,
0.115,0.004553795,0.006786585,0.010143518,0.004738569,-0.002249479,,,
0.12,0.004576445,0.0048244,0.00854373,0.001438856,-0.001798868,,,
0.125,0.004290342,0.003284216,0.006808043,-0.001525879,-4.40E-04,,,
0.13,0.003023148,0.002241135,0.004867315,-0.003683567,0.001094341,,,
0.135,0.001200438,0.001298189,0.001363754,-0.004729033,0.001972914,,,
0.14,-9.48E-04,-6.70E-04,-0.002788305,-0.004197359,0.001561642,,,
0.145,-0.00191927,-0.003300905,-0.006895065,-0.00308156,3.87E-04,,,
0.15,-0.001478195,-0.005296469,-0.010024309,-0.002114773,-0.001080036,,,
0.155,-0.001482964,-0.007321835,-0.01149416,-0.002655983,-0.002222061,,,
0.16,-0.001477003,-0.008547306,-0.01414299,-0.003904104,-0.002474785,,,
0.165,-0.001965761,-0.010102987,-0.017476082,-0.006744862,-0.002020598,,,
0.17,-0.001735687,-0.012499094,-0.020554066,-0.009801388,-0.001007319,,,
0.175,-0.00292778,-0.015376806,-0.021252632,-0.012847185,-3.78E-04,,,
0.18,-0.004973412,-0.018156767,-0.021117926,-0.015212297,-8.34E-04,,,
0.185,-0.007116795,-0.020267963,-0.021400452,-0.016409159,-0.0022614,,,
0.19,-0.008482933,-0.022721291,-0.020674467,-0.017794371,-0.004266501,,,
0.195,-0.008981228,-0.024213791,-0.020911694,-0.018672943,-0.005892515,,,
0.2,-0.00880599,-0.025389195,-0.022711754,-0.018885136,-0.007536411,,,
0.205,-0.009201765,-0.026030541,-0.025237799,-0.018755198,-0.008664131,,,
0.21,-0.010256767,-0.025508404,-0.027523041,-0.019390583,-0.008603334,,,
0.215,-0.01175642,-0.024256706,-0.029783249,-0.019739866,-0.006767511,,,
0.22,-0.01257658,-0.022648573,-0.030508041,-0.020400286,-0.005662441,,,
0.225,-0.011864901,-0.021680594,-0.030066967,-0.020650625,-0.004462004,,,
0.23,-0.010166168,-0.022081137,-0.029392242,-0.020765066,-0.003215075,,,
0.235,-0.007858276,-0.023697615,-0.029256344,-0.020881891,-0.002192259,,,
0.24,-0.006535053,-0.025098324,-0.028465986,-0.020110607,-0.002336502,,,
0.245,-0.005822182,-0.024752617,-0.027827025,-0.019055605,-0.002946854,,,
0.25,-0.004743338,-0.022296906,-0.027756691,-0.017352104,-0.003577471,,,
0.255,-0.003836155,-0.020368099,-0.027214289,-0.015898943,-0.004149675,,,
0.26,-0.003045797,-0.018590689,-0.026171207,-0.014104843,-0.004591942,,,
0.265,-0.003067255,-0.017293692,-0.024639368,-0.012743473,-0.004066229,,,
0.27,-0.003687143,-0.016316176,-0.021444559,-0.010976791,-0.003626347,,,
0.275,-0.005577803,-0.015813112,-0.017460585,-0.00901103,-0.002291203,,,
0.28,-0.00737071,-0.015164614,-0.014767647,-0.007150173,-0.001136065,,,
0.285,-0.008448362,-0.013468266,-0.012844801,-0.005611181,-1.84E-04,,,
0.29,-0.008318424,-0.011392832,-0.010614395,-0.004140139,3.03E-04,,,
0.295,-0.005494356,-0.009263754,-0.008121729,-0.001986027,4.16E-04,,,
0.3,-0.002533197,-0.00741601,-0.005319119,3.61E-04,5.81E-04,,,
0.305,-3.95E-04,-0.005340576,-0.001581907,0.002644062,7.74E-04,,,
0.31,3.17E-04,-0.003660917,0.001673698,0.004528761,0.001561642,,,
0.315,8.89E-04,-0.002566576,0.00507474,0.005364418,0.001713038,,,
0.32,0.001368523,-0.001995564,0.008527041,0.005894899,0.001960993,,,
0.325,9.98E-04,-6.20E-05,0.011467934,0.00644207,0.001686811,,,
0.33,0.001209974,0.003298521,0.012756586,0.007355213,0.001081228,,,
0.335,0.002406836,0.006247759,0.014724731,0.008883476,1.90E-04,,,
0.34,0.004216433,0.008468628,0.016807318,0.010606051,3.36E-04,,,
0.345,0.006550551,0.011150837,0.01839757,0.011774302,9.37E-04,,,
0.35,0.008107424,0.013855696,0.019359589,0.011893511,0.002257824,,,
0.355,0.00820756,0.016012192,0.020166636,0.012351275,0.003422499,,,
0.36,0.007488728,0.017067194,0.020911694,0.013473034,0.004540682,,,
0.365,0.006144047,0.01750946,0.022348166,0.014466047,0.004769564,,,
0.37,0.005108118,0.018881559,0.024930239,0.014754534,0.004007816,,,
0.375,0.004993677,0.020219088,0.027244091,0.014874935,0.003054142,,,
0.38,0.005865097,0.021363497,0.027792454,0.015571117,0.002897978,,,
0.385,0.006456375,0.022164583,0.028157234,0.016415119,0.002714396,,,
0.39,0.007457733,0.022530556,0.027931929,0.016850233,0.003321171,,,
0.395,0.00975132,0.022770166,0.026347637,0.017719269,0.003556013,,,
0.4,0.01103282,0.022577047,0.02453804,0.018476248,0.004054308,,,
0.405,0.011441708,0.021593571,0.023713112,0.018973351,0.004241467,,,
0.41,0.011457205,0.019824505,0.024107695,0.019060373,0.004535914,,,
0.415,0.010265112,0.018473864,0.024966002,0.017949343,0.004835129,,,
0.42,0.009230375,0.018177033,0.025551319,0.017215014,0.004504919,,,
0.425,0.009576082,0.018945932,0.024118424,0.016980171,0.004724264,,,
0.43,0.009860992,0.019795895,0.021607876,0.015314817,0.004944801,,,
0.435,0.010153055,0.019954443,0.018795729,0.012638569,0.00420332,,,
0.44,0.010432005,0.019100905,0.016652346,0.010381937,0.002508164,,,
0.445,0.010685921,0.01719594,0.015821457,0.008695126,7.63E-04,,,
0.45,0.010498762,0.015271902,0.016539097,0.007236004,-6.90E-04,,,
0.455,0.010130405,0.013598204,0.016889572,0.006269217,-0.001120567,,,
0.46,0.009464026,0.012156963,0.016890764,0.005480051,-0.001533032,,,
0.465,0.008144379,0.011144877,0.016139746,0.003483295,-0.00148654,,,
0.47,0.005773306,0.010365248,0.01364708,0.00130415,-0.001165867,,,
0.475,0.00403285,0.009998083,0.010056496,-1.54E-04,-3.58E-05,,,
